life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under-five_deaths,polio,total_expenditure,diphtheria,hiv/aids,thinness_1-19_years,schooling,status_Developing
75.3,1.0,1,5.61,36.62206845,99.0,0,52.6,1,99.0,5.87,99.0,0.1,1.6,12.0,1
75.9,9.0,1,5.58,32.24655228,98.0,22,51.7,1,99.0,6.1,98.0,0.1,1.6,11.6,1
74.2,99.0,1,5.31,3.3021542,98.0,68,5.8,1,97.0,5.86,97.0,0.1,1.7,11.4,1
73.5,15.0,1,5.16,26.99312143,98.0,6,49.9,1,97.0,6.12,98.0,0.1,1.8,10.8,1
73.0,17.0,1,4.54,221.8428,99.0,7,48.9,1,98.0,6.38,97.0,0.1,1.8,10.9,1
72.8,18.0,1,4.29,14.71928882,97.0,8,47.9,1,97.0,6.27,97.0,0.1,1.9,10.7,1
73.3,15.0,1,3.73,104.5169157,96.0,16,46.9,1,98.0,6.3,98.0,0.1,2.0,10.7,1
73.6,14.0,1,4.25,96.20557078,96.0,18,46.0,1,97.0,6.0,97.0,0.1,2.1,10.6,1
72.6,11.0,1,3.66,91.71154052,96.0,662,45.0,1,97.0,6.26,97.0,0.1,2.1,10.7,1
75.6,19.0,21,0.4066666666666668,0.0,95.0,63,59.5,24,95.0,4.604,95.0,0.1,6.0,14.4,1
75.4,11.0,21,0.01,54.2373183,95.0,0,58.4,24,95.0,7.21,95.0,0.1,6.0,14.4,1
75.3,112.0,21,0.53,544.4507432,95.0,25,57.2,24,95.0,7.12,95.0,0.1,5.9,14.4,1
75.1,113.0,21,0.66,555.9260833999999,95.0,18,56.1,24,95.0,6.14,95.0,0.1,5.9,14.4,1
74.9,116.0,21,0.56,509.0020405,95.0,112,55.0,24,95.0,5.29,95.0,0.1,5.9,14.0,1
74.7,119.0,21,0.45,430.71758610000006,95.0,103,53.9,24,95.0,5.12,95.0,0.1,5.9,13.6,1
74.4,123.0,20,0.5,352.0636419,94.0,107,52.8,23,94.0,5.36,95.0,0.1,6.0,13.1,1
74.1,126.0,20,0.46,43.08717334,91.0,217,51.8,23,92.0,4.2,93.0,0.1,6.0,12.6,1
73.8,129.0,20,0.44,320.32392410000006,9.0,0,5.8,23,95.0,3.82,95.0,0.1,6.0,12.3,1
73.4,132.0,20,0.36,270.24019619999996,8.0,944,49.8,23,95.0,3.36,95.0,0.1,6.1,12.3,1
72.9,136.0,19,0.5,2.5489227580000002,83.0,2302,48.9,22,88.0,3.24,88.0,0.1,6.1,12.0,1
72.3,14.0,19,0.45,220.39369900000003,81.0,3289,47.9,23,86.0,3.54,86.0,0.1,6.2,11.7,1
71.7,146.0,20,0.34,25.0185226,78.0,15374,47.0,23,87.0,3.6,87.0,0.1,6.3,11.5,1
71.6,145.0,20,0.36,148.51198430000002,78.0,5862,46.1,23,86.0,3.73,86.0,0.1,6.3,11.1,1
71.4,145.0,20,0.23,147.98607140000001,78.0,2686,45.3,24,89.0,3.84,89.0,0.1,6.4,10.9,1
71.3,145.0,21,0.25,154.4559436,78.0,0,44.4,25,86.0,3.49,86.0,0.1,6.5,10.7,1
52.4,335.0,66,5.740666666666666,0.0,64.0,118,23.3,98,7.0,3.9193333333333342,64.0,1.9,8.3,11.4,1
51.7,348.0,67,8.33,23.965612,64.0,11699,22.7,101,68.0,3.31,64.0,2.0,8.5,11.4,1
51.1,355.0,69,8.1,35.95857279,77.0,8523,22.1,105,67.0,4.26,77.0,2.3,8.6,11.4,1
56.0,358.0,72,8.24,256.1225243,75.0,4458,21.5,110,75.0,3.3,75.0,2.6,8.8,10.3,1
51.0,361.0,75,8.06,239.89139210000002,72.0,1449,21.0,115,73.0,3.38,71.0,2.5,8.9,9.4,1
49.6,365.0,78,7.8,191.6537407,77.0,1190,2.4,121,81.0,3.39,77.0,2.5,9.1,9.0,1
49.1,369.0,81,7.01,212.92293250000003,61.0,2807,19.8,127,63.0,4.37,6.0,2.5,9.3,8.5,1
48.7,371.0,84,7.07,249.9101958,69.0,265,19.3,133,65.0,3.84,69.0,2.6,9.5,8.1,1
48.2,375.0,87,6.35,184.8213446,73.0,1014,18.8,138,75.0,3.38,73.0,2.6,9.6,7.7,1
47.7,381.0,90,5.84,25.08688824,70.22222222222223,765,18.2,143,36.0,4.54,34.0,2.5,9.8,7.2,1
47.4,382.0,92,5.04,98.19145117,70.22222222222221,258,17.7,148,39.0,4.1,38.0,2.6,1.0,6.8,1
47.1,386.0,94,3.53,8.8667775,70.22222222222221,29,17.2,152,4.0,4.71,4.0,2.5,1.2,6.4,1
46.8,388.0,95,3.49,35.93349121,70.22222222222221,1196,16.8,155,4.0,4.41,4.0,2.4,1.4,5.9,1
46.5,391.0,96,2.82,24.037942,70.2222222222222,11945,16.3,157,37.0,3.63,41.0,2.3,1.5,5.5,1
45.7,44.0,97,2.58,30.35993647,70.2222222222222,9046,15.8,159,41.0,5.38,38.0,2.1,1.7,5.1,1
45.3,48.0,97,1.85,15.88149254,70.2222222222222,2219,15.4,160,3.0,2.79,28.0,2.0,1.9,4.6,1
76.4,13.0,0,7.949333333333333,0.0,99.0,0,47.7,0,86.0,4.791333333333333,99.0,0.2,3.3,13.9,1
76.2,131.0,0,8.56,2422.999774,99.0,0,47.0,0,96.0,5.54,99.0,0.2,3.3,13.9,1
76.1,133.0,0,8.58,1991.4303719999998,99.0,0,46.4,0,98.0,5.33,99.0,0.2,3.3,13.9,1
75.9,134.0,0,8.18,2156.229842,98.0,0,45.7,0,97.0,5.39,98.0,0.2,3.3,13.8,1
75.7,136.0,0,7.84,1810.875316,99.0,0,45.1,0,99.0,5.65,99.0,0.1,3.3,14.1,1
75.6,138.0,0,7.84,1983.9569370000002,98.0,0,44.4,0,99.0,5.63,98.0,0.1,3.3,14.1,1
75.4,14.0,0,7.82,149.3587355,98.0,0,43.8,0,98.0,4.86,99.0,0.1,3.4,14.2,1
75.2,142.0,0,8.27,180.7762695,98.0,0,43.2,0,99.0,4.69,99.0,0.1,3.4,14.4,1
75.0,144.0,0,8.64,257.96653080000004,97.0,0,42.6,0,98.0,4.27,99.0,0.1,3.4,14.5,1
74.8,145.0,0,8.93,216.3146941,99.0,0,42.0,0,99.0,4.34,99.0,0.1,3.4,14.7,1
74.6,147.0,0,8.15,1455.608186,99.0,0,41.4,0,98.0,4.41,99.0,0.1,3.5,0.0,1
74.4,149.0,0,7.28,22.86295206,97.0,0,4.8,0,97.0,4.21,97.0,0.1,3.5,0.0,1
74.2,151.0,0,7.16,1158.065259,99.0,0,4.1,0,99.0,4.53,99.0,0.1,3.5,0.0,1
74.0,153.0,0,7.21,927.4075855000001,99.0,0,39.5,0,93.0,4.41,98.0,0.1,3.6,0.0,1
73.8,154.0,0,7.51,163.7676978,96.0,0,38.9,0,99.0,4.48,97.0,0.1,3.6,0.0,1
73.6,156.0,0,7.27,1127.74347,98.26666666666667,0,38.2,0,96.0,4.13,95.0,0.1,3.7,0.0,1
76.3,116.0,8,7.966666666666667,0.0,94.0,0,62.8,9,93.0,6.9126666666666665,94.0,0.1,1.0,17.3,1
76.2,118.0,8,7.93,847.3717462999999,94.0,1,62.2,9,92.0,4.79,94.0,0.1,1.0,17.3,1
76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,1.0,17.3,1
75.9,12.0,9,8.35,1133.5580029999999,91.0,2,61.0,10,99.0,5.2,91.0,0.1,1.0,17.2,1
75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,1.0,17.1,1
75.5,121.0,10,8.15,187.61095500000002,94.0,17,59.8,11,95.0,6.55,94.0,0.1,1.0,16.8,1
75.6,126.0,10,8.33,1398.042623,94.0,3,59.2,11,97.0,7.63,94.0,0.1,1.0,16.5,1
75.4,126.0,10,8.41,1413.7354300000002,9.0,0,58.6,11,94.0,6.66,93.0,0.1,1.0,16.3,1
74.8,129.0,10,8.16,1105.6590310000001,85.0,0,58.0,12,92.0,6.49,91.0,0.1,1.1,16.3,1
75.2,127.0,11,7.75,961.1774676000001,84.0,0,57.5,12,92.0,6.68,91.0,0.1,1.1,16.1,1
74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,1.1,16.3,1
74.7,13.0,11,7.63,719.3663797,81.0,0,56.3,12,91.0,6.84,98.0,0.1,1.1,16.3,1
74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,1.2,16.4,1
74.1,138.0,12,7.81,470.18691449999994,66.0,0,55.1,13,94.0,8.31,93.0,0.1,1.2,16.3,1
74.0,138.0,12,7.76,123.01286709999998,81.28571428571429,0,54.6,13,85.0,9.38,83.0,0.1,1.2,15.6,1
74.1,137.0,12,7.68,1349.025282,81.28571428571428,6,54.0,14,88.0,9.21,83.0,0.1,1.2,15.0,1
74.8,118.0,1,3.7026666666666666,0.0,94.0,33,54.9,1,96.0,4.8613333333333335,94.0,0.1,2.1,12.7,1
74.6,12.0,1,3.91,295.60871430000003,93.0,13,54.1,1,95.0,4.48,93.0,0.1,2.1,12.7,1
74.4,123.0,1,3.79,279.4290812,95.0,10,53.3,1,96.0,4.55,95.0,0.1,2.1,12.7,1
74.4,121.0,1,3.89,274.1526986,95.0,0,52.6,1,96.0,4.48,95.0,0.1,2.0,12.7,1
73.9,128.0,1,4.09,260.9963826,95.0,0,51.9,1,96.0,3.71,95.0,0.1,2.0,12.7,1
73.5,132.0,1,4.23,224.3212014,94.0,2,51.2,1,96.0,4.56,94.0,0.1,2.0,12.3,1
73.3,137.0,1,3.96,201.18554609999998,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2.0,11.9,1
73.2,14.0,1,3.96,2.8888979,89.0,0,5.1,1,91.0,3.8,89.0,0.1,2.0,12.3,1
73.5,132.0,1,3.99,44.57219966,85.0,1,49.7,1,9.0,4.31,88.0,0.1,2.0,11.7,1
72.9,141.0,1,4.01,244.5352767,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2.0,11.2,1
73.0,137.0,1,4.25,20.21822828,91.0,2281,48.8,1,92.0,5.25,9.0,0.1,2.0,10.9,1
73.0,132.0,1,3.81,97.74087744,91.0,1783,48.4,1,93.0,5.5,91.0,0.1,2.0,10.9,1
72.7,134.0,1,3.03,7.341493148,93.0,4,48.1,1,96.0,5.56,94.0,0.1,2.0,10.8,1
72.6,134.0,1,2.86,57.17810403,91.0,40,47.8,1,96.0,5.4,94.0,0.1,2.1,10.8,1
72.6,141.0,1,2.86,53.19373012,69.0,69,47.4,1,97.0,5.94,94.0,0.1,2.1,11.1,1
72.0,142.0,1,2.9,32.75626853,55.0,15,47.1,1,96.0,6.25,93.0,0.1,2.1,11.2,1
72.7,118.0,5,0.9919999999999999,0.0,96.0,0,52.5,6,98.0,5.679333333333334,96.0,0.1,2.8,12.7,1
72.5,119.0,5,0.01,306.1824313,94.0,0,51.5,6,97.0,6.4,94.0,0.1,2.8,12.2,1
72.2,121.0,5,2.14,275.6514934,93.0,164,5.6,6,96.0,5.54,93.0,0.1,2.8,11.9,1
71.9,123.0,5,0.01,285.6103912,88.0,0,49.7,6,92.0,5.37,89.0,0.1,2.8,11.8,1
71.6,125.0,5,1.98,263.14269900000005,84.0,0,48.8,6,91.0,5.1,87.0,0.1,2.8,11.7,1
71.1,13.0,5,1.98,246.56860079999998,8.0,0,48.0,6,85.0,5.33,81.0,0.1,2.8,11.7,1
78.0,132.0,6,2.1,22.48638351,74.0,0,47.3,6,84.0,5.85,81.0,0.1,2.8,11.6,1
73.0,141.0,6,1.18,206.26161340000002,68.0,5,46.6,6,85.0,4.37,81.0,0.1,2.8,11.6,1
73.0,14.0,6,1.02,176.01071059999998,62.0,0,45.9,7,81.0,5.1,79.0,0.1,2.8,11.6,1
69.2,154.0,6,0.85,105.6337264,52.0,222,45.3,7,8.0,6.17,78.0,0.1,2.9,10.7,1
68.4,162.0,6,0.73,81.28883085,49.0,1238,44.7,7,79.0,7.86,75.0,0.1,2.9,11.2,1
68.4,154.0,6,0.62,8.59680496,5.0,827,44.2,8,78.0,7.92,77.0,0.1,3.0,11.0,1
67.8,154.0,7,0.55,42.41491183,51.0,1978,43.6,8,79.0,6.56,77.0,0.1,3.0,10.8,1
67.8,146.0,7,0.55,39.33253687,5.0,4353,43.1,9,8.0,4.47,76.0,0.1,3.1,10.6,1
67.5,151.0,8,0.51,4.104190077,59.214285714285715,574,42.6,10,77.0,4.48,77.0,0.1,3.1,10.4,1
66.6,16.0,9,0.65,35.09462644,59.21428571428571,210,42.1,11,75.0,4.67,76.0,0.1,3.2,10.1,1
76.1,147.0,0,10.271333333333331,0.0,95.0,0,64.5,0,95.0,6.706,95.0,0.1,2.5,12.6,1
75.4,16.0,0,9.45,0.0,96.0,0,63.8,0,96.0,7.74,96.0,0.1,2.5,12.6,1
74.8,172.0,0,9.42,0.0,97.0,0,63.2,0,97.0,7.5,97.0,0.1,2.5,12.6,1
74.9,167.0,0,9.5,0.0,96.0,0,62.6,0,99.0,7.43,98.0,0.2,2.5,12.6,1
75.0,162.0,0,9.34,0.0,95.0,0,62.0,0,97.0,7.63,98.0,0.1,2.5,12.6,1
75.0,161.0,0,9.19,0.0,98.0,0,61.3,0,97.0,7.44,99.0,0.2,2.5,12.6,1
74.6,168.0,0,9.29,0.0,95.0,0,6.7,0,97.0,7.43,96.0,0.1,2.5,12.6,1
74.5,167.0,0,10.15,0.0,9.0,0,6.1,0,93.0,7.3,93.0,0.1,2.5,12.6,1
74.4,167.0,0,10.75,0.0,93.0,0,59.4,0,95.0,7.8,95.0,0.1,2.5,12.5,1
74.2,171.0,0,11.07,0.0,96.0,0,58.7,0,94.0,6.93,95.0,0.1,2.5,12.4,1
74.1,172.0,0,10.49,0.0,93.0,0,58.1,0,93.0,5.95,93.0,0.1,2.6,12.4,1
73.8,174.0,0,10.1,0.0,93.0,0,57.4,0,92.0,6.2,93.0,0.1,2.6,12.3,1
73.2,189.0,0,10.68,0.0,88.0,0,56.7,0,93.0,5.62,92.0,0.1,2.6,12.2,1
73.1,19.0,0,10.85,0.0,89.0,0,56.0,0,93.0,5.26,94.0,0.1,2.6,12.1,1
72.9,189.0,0,11.64,0.0,21.0,0,55.2,0,98.0,5.15,99.0,0.2,2.7,12.1,1
72.6,192.0,0,12.15,0.0,83.6,0,54.4,0,91.0,5.21,99.0,0.1,2.7,12.0,1
76.9,69.0,0,1.9346666666666663,0.0,98.0,0,63.6,0,98.0,3.807333333333333,98.0,0.1,6.2,14.5,1
76.8,7.0,0,1.57,367.2556742,98.0,46,62.9,0,98.0,4.98,98.0,0.1,6.1,14.5,1
76.7,7.0,0,1.65,3.968695982,99.0,0,62.2,0,99.0,4.69,99.0,0.1,6.1,14.5,1
76.5,71.0,0,1.7,2211.2157780000002,99.0,0,61.5,0,99.0,4.37,99.0,0.1,6.1,14.5,1
76.1,76.0,0,1.66,197.77346809999997,99.0,0,6.8,0,99.0,3.4,99.0,0.1,6.1,14.4,1
76.1,73.0,0,1.93,266.7696122,99.0,0,6.1,0,99.0,3.64,99.0,0.1,6.0,14.4,1
76.0,74.0,0,1.95,332.9347646,98.0,3,59.3,0,97.0,3.79,98.0,0.1,6.0,14.4,1
75.8,76.0,0,2.0,231.5478912,97.0,2,58.5,0,97.0,3.17,97.0,0.1,6.0,14.4,1
75.6,77.0,0,2.0,278.3602806,97.0,7,57.6,0,97.0,3.8,97.0,0.1,6.1,14.4,1
75.5,79.0,0,2.1,170.7374027,98.0,3,56.8,0,98.0,3.8,98.0,0.1,6.1,14.2,1
75.3,81.0,0,2.05,1553.468944,98.0,4,56.1,0,98.0,3.16,98.0,0.1,6.1,14.0,1
75.2,83.0,0,2.16,1380.228095,98.0,11,55.6,0,98.0,3.37,98.0,0.1,6.1,13.9,1
75.0,85.0,0,2.16,1214.558167,98.0,12,55.2,0,97.0,3.74,97.0,0.1,6.1,13.7,1
74.9,87.0,0,1.99,106.43033359999998,98.0,8,55.0,0,98.0,3.89,98.0,0.1,6.2,13.5,1
74.7,9.0,0,1.95,1150.418063,99.0,5,54.8,0,99.0,3.8,99.0,0.1,6.2,13.3,1
74.5,92.0,0,2.15,167.7270642,97.0,6,54.5,0,97.0,3.51,97.0,0.1,6.2,13.2,1
71.8,129.0,92,0.01,0.0,97.0,240,18.3,113,97.0,2.8546666666666662,97.0,0.1,17.9,10.2,1
71.4,132.0,98,0.01,10.44640334,97.0,289,17.7,121,97.0,2.82,97.0,0.1,18.1,10.0,1
71.0,135.0,104,0.01,52.82986467,96.0,237,17.0,130,96.0,2.88,96.0,0.1,18.3,10.0,1
77.0,137.0,111,0.01,59.2589257,94.0,1986,16.4,139,94.0,3.8,94.0,0.1,18.5,9.9,1
73.0,14.0,118,0.01,62.34988484,96.0,5625,15.8,150,96.0,3.16,96.0,0.1,18.7,9.4,1
69.9,142.0,126,0.01,62.65945432,94.0,788,15.2,161,94.0,3.6,94.0,0.1,18.9,8.9,1
69.5,144.0,135,0.01,53.26400378,97.0,718,14.6,173,97.0,2.91,97.0,0.1,19.1,8.4,1
69.1,147.0,144,0.01,42.48865034,96.0,2660,14.0,186,96.0,2.85,96.0,0.1,19.3,8.6,1
68.6,151.0,154,0.01,46.36536703,95.0,2924,13.5,201,96.0,2.8,94.0,0.1,19.5,8.6,1
68.2,152.0,164,0.01,42.3304549,86.0,6192,13.0,215,95.0,2.8,94.0,0.1,19.7,8.4,1
67.8,155.0,174,0.01,38.05462002,45.0,25934,12.5,231,94.0,2.68,93.0,0.1,19.9,8.2,1
67.3,158.0,185,0.01,4.11469667,11.0,9743,12.0,247,88.0,2.62,99.0,0.1,2.1,8.1,1
66.8,161.0,196,0.01,35.48458957,5.0,4067,11.6,264,9.0,2.51,87.0,0.1,2.3,7.9,1
66.3,164.0,207,0.01,0.397228764,77.61538461538461,3484,11.2,280,83.0,2.59,83.0,0.1,2.5,7.7,1
65.8,168.0,219,0.01,3.395069781,77.61538461538461,4414,1.8,298,85.0,2.47,85.0,0.1,2.7,7.5,1
65.3,173.0,231,0.01,3.69633051,77.6153846153846,5098,1.4,316,83.0,2.33,82.0,0.1,2.9,7.3,1
75.5,98.0,0,8.206666666666669,0.0,97.0,0,54.5,0,97.0,6.122,97.0,0.1,3.8,15.3,1
75.4,1.0,0,8.82,294.9056584,94.0,0,53.7,0,95.0,7.47,94.0,0.1,3.8,15.3,1
75.2,11.0,0,8.74,263.0372838,91.0,0,53.0,0,91.0,7.57,91.0,0.1,3.8,15.3,1
75.1,12.0,0,8.61,260.0043858,87.0,0,52.2,0,88.0,7.43,87.0,0.1,3.8,15.3,1
74.9,14.0,0,8.51,173.9825629,91.0,0,51.4,0,91.0,6.67,91.0,0.1,3.8,15.5,1
74.7,16.0,0,8.41,154.96308630000001,86.0,0,5.7,0,9.0,6.17,86.0,0.1,3.8,15.8,1
74.6,19.0,0,8.46,327.1618128,93.0,0,49.9,0,93.0,6.21,93.0,0.1,3.8,15.5,1
74.4,111.0,0,8.95,25.52277112,85.0,0,49.2,0,85.0,6.1,85.0,0.1,3.9,15.3,1
74.2,113.0,0,8.47,1641.30981,93.0,0,48.4,0,93.0,5.64,93.0,0.1,3.9,15.0,1
74.1,115.0,0,8.39,181.50008559999998,84.0,0,47.7,0,85.0,5.27,84.0,0.1,4.0,14.8,1
73.9,117.0,0,8.01,1311.440423,92.0,0,46.9,0,91.0,5.38,92.0,0.1,4.0,14.6,1
73.8,119.0,0,7.68,166.00834430000003,93.0,0,46.2,0,93.0,5.71,93.0,0.2,4.1,14.4,1
73.7,121.0,0,7.65,13.513991699999998,91.0,0,45.4,0,9.0,5.82,89.0,0.4,4.1,14.2,1
73.5,123.0,0,7.59,133.099491,66.0,0,44.6,0,86.0,5.76,87.0,0.8,4.2,14.0,1
73.4,125.0,0,7.38,138.16646269999998,18.0,0,43.8,0,93.0,5.47,84.0,0.7,4.2,14.0,1
73.3,127.0,0,7.43,1140.615754,84.06666666666666,0,43.0,0,86.0,5.16,93.0,0.9,4.3,14.0,1
72.3,196.0,0,13.497333333333332,0.0,99.0,2,62.3,0,99.0,6.192000000000001,99.0,0.1,1.9,15.6,1
72.0,199.0,0,13.94,1147.1114,97.0,64,61.7,0,97.0,5.69,97.0,0.1,1.9,15.7,1
71.7,23.0,0,14.66,1109.854619,98.0,16,61.1,1,98.0,6.7,98.0,0.1,2.0,15.7,1
71.9,194.0,0,16.35,91.70962117,97.0,10,6.5,1,98.0,5.1,98.0,0.1,2.0,15.6,1
72.0,232.0,0,17.31,846.9113071,98.0,50,59.9,1,98.0,4.92,98.0,0.1,2.0,15.5,1
73.0,222.0,0,14.44,8.49409518,96.0,1,59.3,1,99.0,5.55,98.0,0.1,2.0,15.5,1
70.0,226.0,0,14.09,434.79850250000004,98.0,0,58.7,1,98.0,6.9,96.0,0.1,2.1,15.4,1
70.0,224.0,1,14.67,501.80561409999996,98.0,0,58.2,1,98.0,5.95,97.0,0.1,2.1,15.1,1
69.8,226.0,1,14.22,464.077513,91.0,1,57.7,1,9.0,6.44,95.0,0.1,2.2,14.9,1
68.9,243.0,1,12.6,364.426052,98.0,149,57.2,1,97.0,6.34,99.0,0.1,2.2,14.6,1
68.1,252.0,1,11.01,45.65007798,99.0,1,56.7,1,98.0,6.89,99.0,0.1,2.3,14.4,1
68.2,247.0,1,12.05,42.33443901,99.0,2,56.2,1,99.0,6.59,99.0,0.1,2.4,14.1,1
67.7,253.0,1,11.17,23.83578594,56.0,21,55.8,1,53.0,6.59,5.0,0.1,2.5,13.9,1
67.2,262.0,1,12.23,145.4233629,99.0,14,55.3,1,99.0,6.47,99.0,0.1,2.5,13.6,1
67.7,254.0,1,10.74,14.06141699,93.0,45,54.9,1,99.0,6.62,99.0,0.1,2.6,13.3,1
68.0,247.0,1,12.98,24.24947846,7.0,21,54.4,1,99.0,6.13,99.0,0.1,2.7,13.1,1
71.0,175.0,0,6.252666666666668,0.0,94.0,0,5.9,0,94.0,5.039333333333333,94.0,0.2,3.5,12.8,1
70.0,177.0,0,6.58,670.0920883,95.0,0,5.1,0,95.0,5.79,95.0,0.2,3.4,12.8,1
69.8,18.0,0,6.56,629.2018591,95.0,0,49.3,0,95.0,5.79,95.0,0.2,3.4,12.9,1
69.4,189.0,0,6.66,582.8027185,98.0,0,48.5,0,98.0,5.45,98.0,0.1,3.5,12.5,1
69.4,188.0,0,6.64,605.6286892,95.0,0,47.8,0,95.0,5.61,95.0,0.5,3.5,12.4,1
69.5,186.0,0,6.76,569.9527122000001,96.0,0,47.0,0,96.0,5.85,96.0,0.2,3.5,12.4,1
69.5,184.0,0,6.85,549.8096097,97.0,0,46.3,0,98.0,5.81,97.0,0.3,3.5,12.7,1
69.6,181.0,0,7.22,51.25232422,94.0,0,45.7,0,94.0,5.9,94.0,0.1,3.5,12.8,1
69.6,181.0,0,7.24,69.63051047,96.0,0,45.0,0,97.0,4.76,96.0,0.6,3.5,12.8,1
69.4,184.0,0,6.48,387.3324928,98.0,0,44.4,0,98.0,4.4,98.0,0.6,3.6,12.3,1
69.0,191.0,0,6.25,365.799896,96.0,0,43.8,0,96.0,4.45,96.0,0.8,3.6,12.8,1
68.7,197.0,0,6.2,325.6807462,97.0,0,43.2,0,97.0,4.39,97.0,0.8,3.6,12.5,1
68.4,21.0,0,5.67,312.79959460000003,96.0,0,42.6,0,95.0,4.53,96.0,1.5,3.6,12.2,1
68.5,199.0,0,4.99,262.82991890000005,97.0,0,42.0,0,93.0,4.38,89.0,0.1,3.7,11.9,1
68.2,21.0,0,4.9,251.6586929,96.0,0,41.4,0,96.0,4.5,96.0,0.4,3.7,11.8,1
68.3,196.0,0,4.79,219.0239836,76.0,0,4.8,0,91.0,3.98,91.0,0.3,3.8,11.7,1
60.0,249.0,25,1.0,0.0,82.0,55,25.7,39,78.0,4.636,82.0,1.0,6.9,10.7,1
59.7,252.0,25,0.01,90.12206791,78.0,786,25.2,39,74.0,4.59,78.0,1.1,7.1,10.7,1
59.5,251.0,25,0.01,87.40804229999999,77.0,637,24.6,39,73.0,4.59,77.0,1.2,7.2,10.3,1
59.3,251.0,25,0.01,9.80407467,8.0,288,24.1,39,8.0,4.86,8.0,1.3,7.4,10.0,1
59.1,251.0,25,1.4,110.26336189999999,75.0,426,23.5,39,77.0,5.37,75.0,1.4,7.6,9.8,1
58.7,254.0,25,1.33,94.25737917,76.0,392,23.0,39,77.0,4.95,76.0,1.4,7.8,9.5,1
58.4,259.0,25,1.16,71.01399249,79.0,1461,22.5,39,8.0,4.46,79.0,1.6,7.9,9.3,1
57.6,278.0,25,1.28,7.615430126000001,75.0,928,22.0,39,77.0,4.2,75.0,1.8,8.1,9.1,1
57.1,283.0,25,1.12,7.49281752,82.0,341,21.5,39,82.0,4.55,82.0,2.0,8.3,8.9,1
