status,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under-five_deaths,polio,total_expenditure,diphtheria,hiv/aids,thinness_1-19_years,schooling
Developing,73.6,156.0,0,7.27,1127.74347,98.26666666666667,0,38.2,0,96.0,4.13,95.0,0.1,3.7,0.0
Developing,76.3,116.0,8,7.966666666666667,0.0,94.0,0,62.8,9,93.0,6.9126666666666665,94.0,0.1,1.0,17.3
Developing,76.2,118.0,8,7.93,847.3717462999999,94.0,1,62.2,9,92.0,4.79,94.0,0.1,1.0,17.3
Developing,76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,1.0,17.3
Developing,75.9,12.0,9,8.35,1133.5580029999999,91.0,2,61.0,10,99.0,5.2,91.0,0.1,1.0,17.2
Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,1.0,17.1
Developing,75.5,121.0,10,8.15,187.61095500000002,94.0,17,59.8,11,95.0,6.55,94.0,0.1,1.0,16.8
Developing,75.6,126.0,10,8.33,1398.042623,94.0,3,59.2,11,97.0,7.63,94.0,0.1,1.0,16.5
Developing,75.4,126.0,10,8.41,1413.7354300000002,9.0,0,58.6,11,94.0,6.66,93.0,0.1,1.0,16.3
Developing,74.8,129.0,10,8.16,1105.6590310000001,85.0,0,58.0,12,92.0,6.49,91.0,0.1,1.1,16.3
Developing,75.2,127.0,11,7.75,961.1774676000001,84.0,0,57.5,12,92.0,6.68,91.0,0.1,1.1,16.1
Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,1.1,16.3
Developing,74.7,13.0,11,7.63,719.3663797,81.0,0,56.3,12,91.0,6.84,98.0,0.1,1.1,16.3
Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,1.2,16.4
Developing,74.1,138.0,12,7.81,470.18691449999994,66.0,0,55.1,13,94.0,8.31,93.0,0.1,1.2,16.3
Developing,74.0,138.0,12,7.76,123.01286709999998,81.28571428571429,0,54.6,13,85.0,9.38,83.0,0.1,1.2,15.6
Developing,74.1,137.0,12,7.68,1349.025282,81.28571428571428,6,54.0,14,88.0,9.21,83.0,0.1,1.2,15.0
Developing,74.8,118.0,1,3.7026666666666666,0.0,94.0,33,54.9,1,96.0,4.8613333333333335,94.0,0.1,2.1,12.7
Developing,74.6,12.0,1,3.91,295.60871430000003,93.0,13,54.1,1,95.0,4.48,93.0,0.1,2.1,12.7
Developing,74.4,123.0,1,3.79,279.4290812,95.0,10,53.3,1,96.0,4.55,95.0,0.1,2.1,12.7
Developing,74.4,121.0,1,3.89,274.1526986,95.0,0,52.6,1,96.0,4.48,95.0,0.1,2.0,12.7
Developing,73.9,128.0,1,4.09,260.9963826,95.0,0,51.9,1,96.0,3.71,95.0,0.1,2.0,12.7
Developing,73.5,132.0,1,4.23,224.3212014,94.0,2,51.2,1,96.0,4.56,94.0,0.1,2.0,12.3
Developing,73.3,137.0,1,3.96,201.18554609999998,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2.0,11.9
Developing,73.2,14.0,1,3.96,2.8888979,89.0,0,5.1,1,91.0,3.8,89.0,0.1,2.0,12.3
Developing,73.5,132.0,1,3.99,44.57219966,85.0,1,49.7,1,9.0,4.31,88.0,0.1,2.0,11.7
Developing,72.9,141.0,1,4.01,244.5352767,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2.0,11.2
Developing,73.0,137.0,1,4.25,20.21822828,91.0,2281,48.8,1,92.0,5.25,9.0,0.1,2.0,10.9
Developing,73.0,132.0,1,3.81,97.74087744,91.0,1783,48.4,1,93.0,5.5,91.0,0.1,2.0,10.9
Developing,72.7,134.0,1,3.03,7.341493148,93.0,4,48.1,1,96.0,5.56,94.0,0.1,2.0,10.8
Developing,72.6,134.0,1,2.86,57.17810403,91.0,40,47.8,1,96.0,5.4,94.0,0.1,2.1,10.8
Developing,72.6,141.0,1,2.86,53.19373012,69.0,69,47.4,1,97.0,5.94,94.0,0.1,2.1,11.1
Developing,72.0,142.0,1,2.9,32.75626853,55.0,15,47.1,1,96.0,6.25,93.0,0.1,2.1,11.2
Developing,72.7,118.0,5,0.9919999999999999,0.0,96.0,0,52.5,6,98.0,5.679333333333334,96.0,0.1,2.8,12.7
Developing,72.5,119.0,5,0.01,306.1824313,94.0,0,51.5,6,97.0,6.4,94.0,0.1,2.8,12.2
Developing,72.2,121.0,5,2.14,275.6514934,93.0,164,5.6,6,96.0,5.54,93.0,0.1,2.8,11.9
Developing,71.9,123.0,5,0.01,285.6103912,88.0,0,49.7,6,92.0,5.37,89.0,0.1,2.8,11.8
Developing,71.6,125.0,5,1.98,263.14269900000005,84.0,0,48.8,6,91.0,5.1,87.0,0.1,2.8,11.7
Developing,71.1,13.0,5,1.98,246.56860079999998,8.0,0,48.0,6,85.0,5.33,81.0,0.1,2.8,11.7
Developing,78.0,132.0,6,2.1,22.48638351,74.0,0,47.3,6,84.0,5.85,81.0,0.1,2.8,11.6
Developing,73.0,141.0,6,1.18,206.26161340000002,68.0,5,46.6,6,85.0,4.37,81.0,0.1,2.8,11.6
Developing,73.0,14.0,6,1.02,176.01071059999998,62.0,0,45.9,7,81.0,5.1,79.0,0.1,2.8,11.6
Developing,69.2,154.0,6,0.85,105.6337264,52.0,222,45.3,7,8.0,6.17,78.0,0.1,2.9,10.7
Developing,68.4,162.0,6,0.73,81.28883085,49.0,1238,44.7,7,79.0,7.86,75.0,0.1,2.9,11.2
Developing,68.4,154.0,6,0.62,8.59680496,5.0,827,44.2,8,78.0,7.92,77.0,0.1,3.0,11.0
Developing,67.8,154.0,7,0.55,42.41491183,51.0,1978,43.6,8,79.0,6.56,77.0,0.1,3.0,10.8
Developing,67.8,146.0,7,0.55,39.33253687,5.0,4353,43.1,9,8.0,4.47,76.0,0.1,3.1,10.6
Developing,67.5,151.0,8,0.51,4.104190077,59.214285714285715,574,42.6,10,77.0,4.48,77.0,0.1,3.1,10.4
Developing,66.6,16.0,9,0.65,35.09462644,59.21428571428571,210,42.1,11,75.0,4.67,76.0,0.1,3.2,10.1
Developing,76.1,147.0,0,10.271333333333331,0.0,95.0,0,64.5,0,95.0,6.706,95.0,0.1,2.5,12.6
Developing,75.4,16.0,0,9.45,0.0,96.0,0,63.8,0,96.0,7.74,96.0,0.1,2.5,12.6
Developing,74.8,172.0,0,9.42,0.0,97.0,0,63.2,0,97.0,7.5,97.0,0.1,2.5,12.6
Developing,74.9,167.0,0,9.5,0.0,96.0,0,62.6,0,99.0,7.43,98.0,0.2,2.5,12.6
Developing,75.0,162.0,0,9.34,0.0,95.0,0,62.0,0,97.0,7.63,98.0,0.1,2.5,12.6
Developing,75.0,161.0,0,9.19,0.0,98.0,0,61.3,0,97.0,7.44,99.0,0.2,2.5,12.6
Developing,74.6,168.0,0,9.29,0.0,95.0,0,6.7,0,97.0,7.43,96.0,0.1,2.5,12.6
Developing,74.5,167.0,0,10.15,0.0,9.0,0,6.1,0,93.0,7.3,93.0,0.1,2.5,12.6
Developing,74.4,167.0,0,10.75,0.0,93.0,0,59.4,0,95.0,7.8,95.0,0.1,2.5,12.5
Developing,74.2,171.0,0,11.07,0.0,96.0,0,58.7,0,94.0,6.93,95.0,0.1,2.5,12.4
Developing,74.1,172.0,0,10.49,0.0,93.0,0,58.1,0,93.0,5.95,93.0,0.1,2.6,12.4
Developing,73.8,174.0,0,10.1,0.0,93.0,0,57.4,0,92.0,6.2,93.0,0.1,2.6,12.3
Developing,73.2,189.0,0,10.68,0.0,88.0,0,56.7,0,93.0,5.62,92.0,0.1,2.6,12.2
Developing,73.1,19.0,0,10.85,0.0,89.0,0,56.0,0,93.0,5.26,94.0,0.1,2.6,12.1
Developing,72.9,189.0,0,11.64,0.0,21.0,0,55.2,0,98.0,5.15,99.0,0.2,2.7,12.1
Developing,72.6,192.0,0,12.15,0.0,83.6,0,54.4,0,91.0,5.21,99.0,0.1,2.7,12.0
Developing,76.9,69.0,0,1.9346666666666663,0.0,98.0,0,63.6,0,98.0,3.807333333333333,98.0,0.1,6.2,14.5
Developing,76.8,7.0,0,1.57,367.2556742,98.0,46,62.9,0,98.0,4.98,98.0,0.1,6.1,14.5
Developing,76.7,7.0,0,1.65,3.968695982,99.0,0,62.2,0,99.0,4.69,99.0,0.1,6.1,14.5
Developing,76.5,71.0,0,1.7,2211.2157780000002,99.0,0,61.5,0,99.0,4.37,99.0,0.1,6.1,14.5
Developing,76.1,76.0,0,1.66,197.77346809999997,99.0,0,6.8,0,99.0,3.4,99.0,0.1,6.1,14.4
Developing,76.1,73.0,0,1.93,266.7696122,99.0,0,6.1,0,99.0,3.64,99.0,0.1,6.0,14.4
Developing,76.0,74.0,0,1.95,332.9347646,98.0,3,59.3,0,97.0,3.79,98.0,0.1,6.0,14.4
Developing,75.8,76.0,0,2.0,231.5478912,97.0,2,58.5,0,97.0,3.17,97.0,0.1,6.0,14.4
Developing,75.6,77.0,0,2.0,278.3602806,97.0,7,57.6,0,97.0,3.8,97.0,0.1,6.1,14.4
Developing,75.5,79.0,0,2.1,170.7374027,98.0,3,56.8,0,98.0,3.8,98.0,0.1,6.1,14.2
Developing,75.3,81.0,0,2.05,1553.468944,98.0,4,56.1,0,98.0,3.16,98.0,0.1,6.1,14.0
Developing,75.2,83.0,0,2.16,1380.228095,98.0,11,55.6,0,98.0,3.37,98.0,0.1,6.1,13.9
Developing,75.0,85.0,0,2.16,1214.558167,98.0,12,55.2,0,97.0,3.74,97.0,0.1,6.1,13.7
Developing,74.9,87.0,0,1.99,106.43033359999998,98.0,8,55.0,0,98.0,3.89,98.0,0.1,6.2,13.5
Developing,74.7,9.0,0,1.95,1150.418063,99.0,5,54.8,0,99.0,3.8,99.0,0.1,6.2,13.3
Developing,74.5,92.0,0,2.15,167.7270642,97.0,6,54.5,0,97.0,3.51,97.0,0.1,6.2,13.2
Developing,75.5,98.0,0,8.206666666666669,0.0,97.0,0,54.5,0,97.0,6.122,97.0,0.1,3.8,15.3
Developing,75.4,1.0,0,8.82,294.9056584,94.0,0,53.7,0,95.0,7.47,94.0,0.1,3.8,15.3
Developing,75.2,11.0,0,8.74,263.0372838,91.0,0,53.0,0,91.0,7.57,91.0,0.1,3.8,15.3
Developing,75.1,12.0,0,8.61,260.0043858,87.0,0,52.2,0,88.0,7.43,87.0,0.1,3.8,15.3
Developing,74.9,14.0,0,8.51,173.9825629,91.0,0,51.4,0,91.0,6.67,91.0,0.1,3.8,15.5
Developing,74.7,16.0,0,8.41,154.96308630000001,86.0,0,5.7,0,9.0,6.17,86.0,0.1,3.8,15.8
Developing,74.6,19.0,0,8.46,327.1618128,93.0,0,49.9,0,93.0,6.21,93.0,0.1,3.8,15.5
Developing,74.4,111.0,0,8.95,25.52277112,85.0,0,49.2,0,85.0,6.1,85.0,0.1,3.9,15.3
Developing,74.2,113.0,0,8.47,1641.30981,93.0,0,48.4,0,93.0,5.64,93.0,0.1,3.9,15.0
Developing,74.1,115.0,0,8.39,181.50008559999998,84.0,0,47.7,0,85.0,5.27,84.0,0.1,4.0,14.8
Developing,73.9,117.0,0,8.01,1311.440423,92.0,0,46.9,0,91.0,5.38,92.0,0.1,4.0,14.6
Developing,73.8,119.0,0,7.68,166.00834430000003,93.0,0,46.2,0,93.0,5.71,93.0,0.2,4.1,14.4
Developing,73.7,121.0,0,7.65,13.513991699999998,91.0,0,45.4,0,9.0,5.82,89.0,0.4,4.1,14.2
Developing,73.5,123.0,0,7.59,133.099491,66.0,0,44.6,0,86.0,5.76,87.0,0.8,4.2,14.0
Developing,73.4,125.0,0,7.38,138.16646269999998,18.0,0,43.8,0,93.0,5.47,84.0,0.7,4.2,14.0
Developing,73.3,127.0,0,7.43,1140.615754,84.06666666666666,0,43.0,0,86.0,5.16,93.0,0.9,4.3,14.0
Developing,72.3,196.0,0,13.497333333333332,0.0,99.0,2,62.3,0,99.0,6.192000000000001,99.0,0.1,1.9,15.6
Developing,72.0,199.0,0,13.94,1147.1114,97.0,64,61.7,0,97.0,5.69,97.0,0.1,1.9,15.7
Developing,71.7,23.0,0,14.66,1109.854619,98.0,16,61.1,1,98.0,6.7,98.0,0.1,2.0,15.7
Developing,71.9,194.0,0,16.35,91.70962117,97.0,10,6.5,1,98.0,5.1,98.0,0.1,2.0,15.6
Developing,72.0,232.0,0,17.31,846.9113071,98.0,50,59.9,1,98.0,4.92,98.0,0.1,2.0,15.5
Developing,73.0,222.0,0,14.44,8.49409518,96.0,1,59.3,1,99.0,5.55,98.0,0.1,2.0,15.5
Developing,70.0,226.0,0,14.09,434.79850250000004,98.0,0,58.7,1,98.0,6.9,96.0,0.1,2.1,15.4
Developing,70.0,224.0,1,14.67,501.80561409999996,98.0,0,58.2,1,98.0,5.95,97.0,0.1,2.1,15.1
Developing,69.8,226.0,1,14.22,464.077513,91.0,1,57.7,1,9.0,6.44,95.0,0.1,2.2,14.9
Developing,68.9,243.0,1,12.6,364.426052,98.0,149,57.2,1,97.0,6.34,99.0,0.1,2.2,14.6
Developing,68.1,252.0,1,11.01,45.65007798,99.0,1,56.7,1,98.0,6.89,99.0,0.1,2.3,14.4
Developing,68.2,247.0,1,12.05,42.33443901,99.0,2,56.2,1,99.0,6.59,99.0,0.1,2.4,14.1
Developing,67.7,253.0,1,11.17,23.83578594,56.0,21,55.8,1,53.0,6.59,5.0,0.1,2.5,13.9
Developing,67.2,262.0,1,12.23,145.4233629,99.0,14,55.3,1,99.0,6.47,99.0,0.1,2.5,13.6
Developing,67.7,254.0,1,10.74,14.06141699,93.0,45,54.9,1,99.0,6.62,99.0,0.1,2.6,13.3
Developing,68.0,247.0,1,12.98,24.24947846,7.0,21,54.4,1,99.0,6.13,99.0,0.1,2.7,13.1
Developing,71.0,175.0,0,6.252666666666668,0.0,94.0,0,5.9,0,94.0,5.039333333333333,94.0,0.2,3.5,12.8
Developing,70.0,177.0,0,6.58,670.0920883,95.0,0,5.1,0,95.0,5.79,95.0,0.2,3.4,12.8
Developing,69.8,18.0,0,6.56,629.2018591,95.0,0,49.3,0,95.0,5.79,95.0,0.2,3.4,12.9
Developing,69.4,189.0,0,6.66,582.8027185,98.0,0,48.5,0,98.0,5.45,98.0,0.1,3.5,12.5
Developing,69.4,188.0,0,6.64,605.6286892,95.0,0,47.8,0,95.0,5.61,95.0,0.5,3.5,12.4
Developing,69.5,186.0,0,6.76,569.9527122000001,96.0,0,47.0,0,96.0,5.85,96.0,0.2,3.5,12.4
Developing,69.5,184.0,0,6.85,549.8096097,97.0,0,46.3,0,98.0,5.81,97.0,0.3,3.5,12.7
Developing,69.6,181.0,0,7.22,51.25232422,94.0,0,45.7,0,94.0,5.9,94.0,0.1,3.5,12.8
Developing,69.6,181.0,0,7.24,69.63051047,96.0,0,45.0,0,97.0,4.76,96.0,0.6,3.5,12.8
Developing,69.4,184.0,0,6.48,387.3324928,98.0,0,44.4,0,98.0,4.4,98.0,0.6,3.6,12.3
Developing,69.0,191.0,0,6.25,365.799896,96.0,0,43.8,0,96.0,4.45,96.0,0.8,3.6,12.8
Developing,68.7,197.0,0,6.2,325.6807462,97.0,0,43.2,0,97.0,4.39,97.0,0.8,3.6,12.5
Developing,68.4,21.0,0,5.67,312.79959460000003,96.0,0,42.6,0,95.0,4.53,96.0,1.5,3.6,12.2
Developing,68.5,199.0,0,4.99,262.82991890000005,97.0,0,42.0,0,93.0,4.38,89.0,0.1,3.7,11.9
Developing,68.2,21.0,0,4.9,251.6586929,96.0,0,41.4,0,96.0,4.5,96.0,0.4,3.7,11.8
Developing,68.3,196.0,0,4.79,219.0239836,76.0,0,4.8,0,91.0,3.98,91.0,0.3,3.8,11.7
Developing,77.0,186.0,8,3.212,0.0,99.0,0,52.6,10,99.0,5.626,99.0,0.1,1.2,13.8
Developing,74.0,189.0,8,3.62,0.0,98.0,0,51.9,10,99.0,6.33,98.0,0.1,1.2,13.8
Developing,71.0,192.0,8,3.78,0.0,94.0,0,51.2,10,95.0,5.96,94.0,0.1,1.2,13.8
Developing,69.8,194.0,8,3.89,0.0,93.0,0,5.6,11,93.0,5.56,93.0,0.1,1.2,13.8
Developing,69.3,198.0,9,3.93,0.0,95.0,0,49.9,11,95.0,5.49,95.0,0.2,1.2,13.8
Developing,68.7,22.0,9,3.95,0.0,91.0,0,49.3,12,9.0,5.44,91.0,0.2,1.2,13.8
Developing,68.0,27.0,10,3.87,0.0,93.0,0,48.6,12,92.0,5.76,93.0,0.2,1.2,13.8
Developing,67.4,211.0,10,3.77,0.0,88.0,0,48.0,13,87.0,5.0,88.0,0.2,1.3,14.0
Developing,66.8,216.0,11,3.47,0.0,84.0,0,47.3,14,85.0,4.96,84.0,0.2,1.3,14.1
Developing,66.2,219.0,11,3.23,0.0,83.0,0,46.7,15,82.0,5.19,83.0,0.2,1.3,14.3
Developing,65.7,222.0,12,2.86,0.0,85.0,0,46.0,16,84.0,5.67,85.0,0.2,1.3,14.4
Developing,65.1,226.0,12,2.66,0.0,84.0,0,45.4,16,84.0,5.22,84.0,0.2,1.4,14.6
Developing,64.5,23.0,13,2.37,0.0,8.0,0,44.7,17,82.0,5.3,88.0,0.2,1.4,14.4
Developing,63.9,234.0,14,2.26,0.0,77.0,0,44.0,18,76.0,6.53,77.0,0.1,1.4,14.0
Developing,63.3,238.0,14,2.2,0.0,77.0,0,43.3,19,71.0,6.31,71.0,0.1,1.5,13.7
Developing,62.6,243.0,15,2.32,0.0,77.0,122,42.6,20,74.0,5.67,75.0,0.1,1.5,13.3
Developing,77.4,88.0,0,4.405333333333333,0.0,82.0,1677,55.8,0,74.0,8.741999999999999,82.0,0.1,2.3,14.2
Developing,77.2,89.0,0,4.03,732.8662491,89.0,3000,55.3,0,86.0,9.57,86.0,0.1,2.4,14.2
Developing,77.0,9.0,0,4.12,75.61062911,91.0,0,54.7,0,87.0,9.46,89.0,0.1,2.4,14.2
Developing,76.8,92.0,0,4.61,693.8226461,92.0,22,54.2,0,87.0,9.94,92.0,0.1,2.5,13.9
Developing,76.9,92.0,0,4.64,7.959131146,88.0,10,53.7,0,89.0,9.71,88.0,0.1,2.6,13.4
Developing,76.4,94.0,0,4.54,630.3883563999999,89.0,45,53.1,0,9.0,9.58,89.0,0.1,2.6,13.3
Developing,76.1,97.0,0,4.75,645.021302,9.0,22,52.6,0,9.0,9.64,9.0,0.1,2.7,13.3
Developing,76.0,98.0,0,5.13,66.04635027,88.0,8,52.1,0,92.0,8.58,91.0,0.1,2.8,13.1
Developing,75.4,16.0,0,5.16,8.240355867,94.0,166,51.5,0,95.0,8.37,95.0,0.1,2.8,12.9
Developing,75.7,1.0,0,4.82,38.25414065,9.0,17,51.0,0,91.0,8.28,87.0,0.1,2.9,12.7
Developing,75.0,12.0,0,4.56,45.71354264,93.0,23,5.5,0,95.0,8.5,93.0,0.1,2.9,12.5
Developing,75.5,99.0,0,4.25,3.4799188589999996,36.0,28,49.9,0,87.0,9.4,84.0,0.1,3.0,12.3
Developing,75.2,12.0,0,4.14,39.86518043,71.66666666666667,18,49.4,0,87.0,7.94,87.0,0.1,3.0,12.1
Developing,75.4,11.0,0,3.84,151.1399301,71.66666666666666,28,48.8,0,86.0,7.1,8.0,0.1,3.1,11.9
Developing,74.9,113.0,0,3.85,143.29474869999999,71.66666666666666,0,48.2,0,92.0,7.16,91.0,0.1,3.2,11.6
Developing,74.6,116.0,0,3.64,165.6168642,71.66666666666667,43,47.6,0,87.0,7.9,85.0,0.1,3.3,0.0
Developing,65.7,256.0,2,4.67,0.0,95.0,0,37.9,2,96.0,5.510666666666666,95.0,2.2,6.4,12.6
Developing,65.1,268.0,2,0.01,662.802194,95.0,1,37.3,2,96.0,5.41,95.0,2.3,6.7,12.6
Developing,64.2,286.0,2,0.01,1.117811275,95.0,1,36.8,2,96.0,5.84,95.0,2.8,7.0,12.6
Developing,63.4,3.0,2,0.01,12.83447357,95.0,7,36.2,3,96.0,6.27,95.0,4.4,7.3,12.5
Developing,62.2,325.0,2,5.76,668.9562854,95.0,8,35.7,3,96.0,5.25,95.0,5.5,7.7,12.4
Developing,61.1,349.0,2,5.99,547.0386679,95.0,853,35.2,3,96.0,5.64,95.0,6.2,8.0,12.3
Developing,59.2,393.0,2,5.01,426.78556619999995,94.0,184,34.7,3,96.0,6.39,96.0,9.0,8.4,12.2
Developing,57.5,427.0,2,6.56,476.86258719999995,94.0,0,34.2,3,96.0,5.55,96.0,12.7,8.8,12.1
Developing,56.9,436.0,2,6.21,512.5887995,93.0,1,33.7,3,96.0,4.71,96.0,13.4,9.2,12.1
Developing,54.8,491.0,2,6.45,76.31867911,93.0,6,33.2,3,96.0,4.93,96.0,14.4,9.6,11.9
Developing,51.7,566.0,2,6.37,629.8425642999999,92.0,5,32.7,3,96.0,5.62,96.0,20.6,1.0,11.9
Developing,48.1,652.0,2,4.9,469.5823898,91.0,1,32.2,4,96.0,5.56,96.0,28.4,1.5,11.8
Developing,46.4,693.0,2,5.51,299.3671252,9.0,59,31.6,4,96.0,4.65,96.0,31.9,1.9,11.8
Developing,46.0,699.0,2,6.41,6.3300072,88.0,7,31.1,4,97.0,6.47,97.0,34.6,11.4,11.9
Developing,46.7,679.0,2,5.48,306.9527349,87.0,1,3.5,4,97.0,5.73,97.0,37.2,11.8,11.8
Developing,47.8,647.0,2,5.37,250.8916484,86.0,2672,29.9,4,97.0,4.64,97.0,38.8,12.3,11.7
Developing,75.0,142.0,42,7.213333333333333,0.0,96.0,214,56.1,47,98.0,8.019333333333332,96.0,0.1,2.7,15.2
Developing,74.8,144.0,44,7.32,83.16465362,96.0,876,55.3,49,96.0,8.32,93.0,0.1,2.7,15.2
Developing,74.7,146.0,46,7.24,916.2708449999999,96.0,220,54.5,52,96.0,8.48,97.0,0.1,2.8,14.2
